backend,world_size,size_MB,avg_allreduce_s
gloo,2,1.0,0.0005230078822933137
gloo,2,10.0,0.0036706896498799324
gloo,2,100.0,0.032078634947538376
gloo,2,1000.0,0.49278753995895386
gloo,4,1.0,0.000807854812592268
gloo,4,10.0,0.005024968646466732
gloo,4,100.0,0.056349776685237885
gloo,4,1000.0,0.6072293519973755
gloo,6,1.0,0.001457409467548132
gloo,6,10.0,0.0062185609713196754
gloo,6,100.0,0.06207844242453575
gloo,6,1000.0,0.8626381158828735
nccl,2,1.0,3.890460357069969e-05
nccl,2,10.0,7.085469405865297e-05
nccl,2,100.0,0.0003739984822459519
nccl,2,1000.0,0.003001114586368203
nccl,4,1.0,4.977269418304786e-05
nccl,4,10.0,9.376804518979043e-05
nccl,4,100.0,0.0006711261230520904
nccl,4,1000.0,0.004232512786984444
nccl,6,1.0,7.059138442855328e-05
nccl,6,10.0,0.00012180469639133662
nccl,6,100.0,0.0004873128200415522
nccl,6,1000.0,0.004090576432645321
