Training on device: cuda
Step 10: train_loss=9.1605, val_loss=nan, ppl=nan, lr=7.20e-05
Step 20: train_loss=8.8219, val_loss=nan, ppl=nan, lr=1.52e-04
Step 30: train_loss=7.4153, val_loss=nan, ppl=nan, lr=2.32e-04
Step 40: train_loss=6.2552, val_loss=nan, ppl=nan, lr=3.12e-04
Step 50: train_loss=5.7878, val_loss=5.7656, ppl=326.31, lr=3.92e-04
Step 60: train_loss=5.5116, val_loss=nan, ppl=nan, lr=4.72e-04
Step 70: train_loss=5.1077, val_loss=nan, ppl=nan, lr=5.52e-04
Step 80: train_loss=4.8046, val_loss=nan, ppl=nan, lr=6.32e-04
Step 90: train_loss=4.4874, val_loss=nan, ppl=nan, lr=7.12e-04
Step 100: train_loss=4.1627, val_loss=4.1572, ppl=64.24, lr=7.92e-04
Step 110: train_loss=3.9474, val_loss=nan, ppl=nan, lr=8.72e-04
Step 120: train_loss=3.8070, val_loss=nan, ppl=nan, lr=9.52e-04
Step 130: train_loss=3.6594, val_loss=nan, ppl=nan, lr=1.00e-03
Step 140: train_loss=3.5570, val_loss=nan, ppl=nan, lr=1.00e-03
Step 150: train_loss=3.4264, val_loss=3.4142, ppl=30.77, lr=1.00e-03
Step 160: train_loss=3.2821, val_loss=nan, ppl=nan, lr=9.99e-04
Step 170: train_loss=3.2411, val_loss=nan, ppl=nan, lr=9.99e-04
Step 180: train_loss=3.1790, val_loss=nan, ppl=nan, lr=9.98e-04
Step 190: train_loss=3.0809, val_loss=nan, ppl=nan, lr=9.97e-04
Step 200: train_loss=2.9743, val_loss=2.9807, ppl=19.58, lr=9.96e-04
Step 210: train_loss=2.8857, val_loss=nan, ppl=nan, lr=9.95e-04
Step 220: train_loss=2.8413, val_loss=nan, ppl=nan, lr=9.94e-04
Step 230: train_loss=2.8091, val_loss=nan, ppl=nan, lr=9.93e-04
Step 240: train_loss=2.6938, val_loss=nan, ppl=nan, lr=9.91e-04
Step 250: train_loss=2.6623, val_loss=2.6551, ppl=14.33, lr=9.89e-04
Step 260: train_loss=2.6491, val_loss=nan, ppl=nan, lr=9.88e-04
Step 270: train_loss=2.6069, val_loss=nan, ppl=nan, lr=9.86e-04
Step 280: train_loss=2.5353, val_loss=nan, ppl=nan, lr=9.84e-04
Step 290: train_loss=2.4440, val_loss=nan, ppl=nan, lr=9.81e-04
Step 300: train_loss=2.4619, val_loss=2.4506, ppl=11.73, lr=9.79e-04
Step 310: train_loss=2.4168, val_loss=nan, ppl=nan, lr=9.77e-04
Step 320: train_loss=2.3957, val_loss=nan, ppl=nan, lr=9.74e-04
Step 330: train_loss=2.3609, val_loss=nan, ppl=nan, lr=9.71e-04
Step 340: train_loss=2.3458, val_loss=nan, ppl=nan, lr=9.69e-04
Step 350: train_loss=2.2635, val_loss=2.2834, ppl=9.62, lr=9.66e-04
Step 360: train_loss=2.2504, val_loss=nan, ppl=nan, lr=9.62e-04
Step 370: train_loss=2.2385, val_loss=nan, ppl=nan, lr=9.59e-04
Step 380: train_loss=2.2076, val_loss=nan, ppl=nan, lr=9.56e-04
Step 390: train_loss=2.2075, val_loss=nan, ppl=nan, lr=9.52e-04
Step 400: train_loss=2.1426, val_loss=2.1608, ppl=8.52, lr=9.49e-04
Step 410: train_loss=2.1225, val_loss=nan, ppl=nan, lr=9.45e-04
Step 420: train_loss=2.1222, val_loss=nan, ppl=nan, lr=9.41e-04
Step 430: train_loss=2.0959, val_loss=nan, ppl=nan, lr=9.37e-04
Step 440: train_loss=2.0957, val_loss=nan, ppl=nan, lr=9.33e-04
Step 450: train_loss=2.0701, val_loss=2.0653, ppl=7.93, lr=9.29e-04
Step 460: train_loss=2.0388, val_loss=nan, ppl=nan, lr=9.24e-04
Step 470: train_loss=2.0335, val_loss=nan, ppl=nan, lr=9.20e-04
Step 480: train_loss=2.0133, val_loss=nan, ppl=nan, lr=9.15e-04
Step 490: train_loss=2.0352, val_loss=nan, ppl=nan, lr=9.11e-04
Step 500: train_loss=1.9725, val_loss=1.9769, ppl=7.19, lr=9.06e-04
Saved checkpoint at iter 500
Step 510: train_loss=1.9508, val_loss=nan, ppl=nan, lr=9.01e-04
Step 520: train_loss=1.9938, val_loss=nan, ppl=nan, lr=8.96e-04
Step 530: train_loss=1.9497, val_loss=nan, ppl=nan, lr=8.91e-04
Step 540: train_loss=1.9457, val_loss=nan, ppl=nan, lr=8.86e-04
Step 550: train_loss=1.9463, val_loss=1.9195, ppl=7.00, lr=8.80e-04
Step 560: train_loss=1.8932, val_loss=nan, ppl=nan, lr=8.75e-04
Step 570: train_loss=1.8875, val_loss=nan, ppl=nan, lr=8.69e-04
Step 580: train_loss=1.8957, val_loss=nan, ppl=nan, lr=8.64e-04
Step 590: train_loss=1.9007, val_loss=nan, ppl=nan, lr=8.58e-04
Step 600: train_loss=1.8648, val_loss=1.8693, ppl=6.45, lr=8.52e-04
Step 610: train_loss=1.8671, val_loss=nan, ppl=nan, lr=8.46e-04
Step 620: train_loss=1.8770, val_loss=nan, ppl=nan, lr=8.40e-04
Step 630: train_loss=1.8427, val_loss=nan, ppl=nan, lr=8.34e-04
Step 640: train_loss=1.8194, val_loss=nan, ppl=nan, lr=8.28e-04
Step 650: train_loss=1.8292, val_loss=1.8250, ppl=6.23, lr=8.21e-04
Step 660: train_loss=1.7966, val_loss=nan, ppl=nan, lr=8.15e-04
Step 670: train_loss=1.8226, val_loss=nan, ppl=nan, lr=8.08e-04
Step 680: train_loss=1.8159, val_loss=nan, ppl=nan, lr=8.02e-04
Step 690: train_loss=1.8059, val_loss=nan, ppl=nan, lr=7.95e-04
Step 700: train_loss=1.7892, val_loss=1.7916, ppl=5.98, lr=7.88e-04
Step 710: train_loss=1.7826, val_loss=nan, ppl=nan, lr=7.81e-04
Step 720: train_loss=1.7898, val_loss=nan, ppl=nan, lr=7.74e-04
Step 730: train_loss=1.7764, val_loss=nan, ppl=nan, lr=7.67e-04
Step 740: train_loss=1.7844, val_loss=nan, ppl=nan, lr=7.60e-04
Step 750: train_loss=1.7630, val_loss=1.7599, ppl=5.83, lr=7.53e-04
Step 760: train_loss=1.7591, val_loss=nan, ppl=nan, lr=7.46e-04
Step 770: train_loss=1.7297, val_loss=nan, ppl=nan, lr=7.39e-04
Step 780: train_loss=1.7422, val_loss=nan, ppl=nan, lr=7.31e-04
Step 790: train_loss=1.7356, val_loss=nan, ppl=nan, lr=7.24e-04
Step 800: train_loss=1.7400, val_loss=1.7397, ppl=5.70, lr=7.17e-04
Step 810: train_loss=1.7311, val_loss=nan, ppl=nan, lr=7.09e-04
Step 820: train_loss=1.7296, val_loss=nan, ppl=nan, lr=7.01e-04
Step 830: train_loss=1.6916, val_loss=nan, ppl=nan, lr=6.94e-04
Step 840: train_loss=1.7145, val_loss=nan, ppl=nan, lr=6.86e-04
Step 850: train_loss=1.7145, val_loss=1.7125, ppl=5.55, lr=6.78e-04
Step 860: train_loss=1.6776, val_loss=nan, ppl=nan, lr=6.71e-04
Step 870: train_loss=1.6669, val_loss=nan, ppl=nan, lr=6.63e-04
Step 880: train_loss=1.6583, val_loss=nan, ppl=nan, lr=6.55e-04
Step 890: train_loss=1.6674, val_loss=nan, ppl=nan, lr=6.47e-04
Step 900: train_loss=1.6891, val_loss=1.6876, ppl=5.41, lr=6.39e-04
